2024-03-28 19:50:40.563 | WARNING  | qlib.tests.data:qlib_data:175 - Data already exists: ~/.qlib/qlib_data/cn_data, the data download will be skipped
[3414733:MainThread](2024-03-28 20:33:35,945) INFO - qlib.DEnsembleModel - [double_ensemble.py:81] - Training sub-model: (2/3)
[3414733:MainThread](2024-03-28 20:33:38,616) INFO - qlib.DEnsembleModel - [double_ensemble.py:88] - Retrieving loss curve and loss values...
[3414733:MainThread](2024-03-28 20:33:43,171) INFO - qlib.DEnsembleModel - [double_ensemble.py:98] - Sample re-weighting...
[3414733:MainThread](2024-03-28 20:33:47,204) INFO - qlib.DEnsembleModel - [double_ensemble.py:102] - Feature selection...
[3414733:MainThread](2024-03-28 20:35:57,141) INFO - qlib.DEnsembleModel - [double_ensemble.py:81] - Training sub-model: (3/3)
[3414733:MainThread](2024-03-28 20:36:00,532) INFO - qlib.workflow - [record_temp.py:198] - Signal record 'pred.pkl' has been saved as the artifact of the Experiment 9
[3414733:MainThread](2024-03-28 20:36:00,638) INFO - qlib.timer - [log.py:127] - Time cost: 0.000s | waiting `async_log` Done

train tasks:  23%|██▎       | 10/44 [45:19<2:31:54, 268.09s/it][3414733:MainThread](2024-03-28 20:36:00,648) INFO - qlib.workflow - [exp.py:258] - Experiment 9 starts running ...
[3414733:MainThread](2024-03-28 20:36:00,664) INFO - qlib.workflow - [recorder.py:341] - Recorder 3fdcf40e843248e39a1a8a22feca3e9b starts running under Experiment 9 ...
[3414733:MainThread](2024-03-28 20:36:00,899) INFO - qlib.DEnsembleModel - [double_ensemble.py:57] - Double Ensemble Model...
[3414733:MainThread](2024-03-28 20:36:01,586) WARNING - qlib.utils - [__init__.py:789] - The parameter `reweighter` with value `None` is ignored.
[3414733:MainThread](2024-03-28 20:36:03,327) INFO - qlib.DEnsembleModel - [double_ensemble.py:81] - Training sub-model: (1/3)
[3414733:MainThread](2024-03-28 20:36:08,195) INFO - qlib.DEnsembleModel - [double_ensemble.py:88] - Retrieving loss curve and loss values...
[3414733:MainThread](2024-03-28 20:36:16,834) INFO - qlib.DEnsembleModel - [double_ensemble.py:98] - Sample re-weighting...
[3414733:MainThread](2024-03-28 20:36:20,929) INFO - qlib.DEnsembleModel - [double_ensemble.py:102] - Feature selection...
[3414733:MainThread](2024-03-28 20:37:47,174) INFO - qlib.DEnsembleModel - [double_ensemble.py:81] - Training sub-model: (2/3)
[3414733:MainThread](2024-03-28 20:37:49,723) INFO - qlib.DEnsembleModel - [double_ensemble.py:88] - Retrieving loss curve and loss values...
[3414733:MainThread](2024-03-28 20:37:54,766) INFO - qlib.DEnsembleModel - [double_ensemble.py:98] - Sample re-weighting...
[3414733:MainThread](2024-03-28 20:37:58,724) INFO - qlib.DEnsembleModel - [double_ensemble.py:102] - Feature selection...
[3414733:MainThread](2024-03-28 20:40:18,177) INFO - qlib.DEnsembleModel - [double_ensemble.py:81] - Training sub-model: (3/3)
[3414733:MainThread](2024-03-28 20:40:21,580) INFO - qlib.workflow - [record_temp.py:198] - Signal record 'pred.pkl' has been saved as the artifact of the Experiment 9
[3414733:MainThread](2024-03-28 20:40:21,667) INFO - qlib.timer - [log.py:127] - Time cost: 0.000s | waiting `async_log` Done

train tasks:  25%|██▌       | 11/44 [49:40<2:26:15, 265.93s/it][3414733:MainThread](2024-03-28 20:40:21,677) INFO - qlib.workflow - [exp.py:258] - Experiment 9 starts running ...
[3414733:MainThread](2024-03-28 20:40:21,693) INFO - qlib.workflow - [recorder.py:341] - Recorder e1a3ce1074d447acade8ce2a28d36557 starts running under Experiment 9 ...
[3414733:MainThread](2024-03-28 20:40:21,933) INFO - qlib.DEnsembleModel - [double_ensemble.py:57] - Double Ensemble Model...
