2024-03-28 15:26:56.279 | WARNING  | qlib.tests.data:qlib_data:175 - Data already exists: ~/.qlib/qlib_data/cn_data, the data download will be skipped
[3071557:MainThread](2024-03-28 16:09:49,658) INFO - qlib.DEnsembleModel - [double_ensemble.py:88] - Retrieving loss curve and loss values...
[3071557:MainThread](2024-03-28 16:09:57,834) INFO - qlib.DEnsembleModel - [double_ensemble.py:102] - Feature selection...
[3071557:MainThread](2024-03-28 16:11:49,903) INFO - qlib.DEnsembleModel - [double_ensemble.py:81] - Training sub-model: (2/3)
[3071557:MainThread](2024-03-28 16:11:53,650) INFO - qlib.DEnsembleModel - [double_ensemble.py:88] - Retrieving loss curve and loss values...
[3071557:MainThread](2024-03-28 16:11:57,865) INFO - qlib.DEnsembleModel - [double_ensemble.py:102] - Feature selection...
[3071557:MainThread](2024-03-28 16:14:46,925) INFO - qlib.DEnsembleModel - [double_ensemble.py:81] - Training sub-model: (3/3)
[3071557:MainThread](2024-03-28 16:14:51,409) INFO - qlib.workflow - [record_temp.py:198] - Signal record 'pred.pkl' has been saved as the artifact of the Experiment 8
[3071557:MainThread](2024-03-28 16:14:51,489) INFO - qlib.timer - [log.py:127] - Time cost: 0.000s | waiting `async_log` Done
train tasks:  23%|██▎       | 10/44 [47:55<2:45:08, 291.44s/it][3071557:MainThread](2024-03-28 16:14:51,498) INFO - qlib.workflow - [exp.py:258] - Experiment 8 starts running ...
[3071557:MainThread](2024-03-28 16:14:51,512) INFO - qlib.workflow - [recorder.py:341] - Recorder 5acc31471e3949c6ba4258262cbb964a starts running under Experiment 8 ...
[3071557:MainThread](2024-03-28 16:14:51,941) INFO - qlib.DEnsembleModel - [double_ensemble.py:57] - Double Ensemble Model...
[3071557:MainThread](2024-03-28 16:14:52,713) WARNING - qlib.utils - [__init__.py:789] - The parameter `reweighter` with value `None` is ignored.
[3071557:MainThread](2024-03-28 16:14:54,523) INFO - qlib.DEnsembleModel - [double_ensemble.py:81] - Training sub-model: (1/3)
[3071557:MainThread](2024-03-28 16:15:01,911) INFO - qlib.DEnsembleModel - [double_ensemble.py:88] - Retrieving loss curve and loss values...
[3071557:MainThread](2024-03-28 16:15:12,283) INFO - qlib.DEnsembleModel - [double_ensemble.py:102] - Feature selection...
[3071557:MainThread](2024-03-28 16:17:07,915) INFO - qlib.DEnsembleModel - [double_ensemble.py:81] - Training sub-model: (2/3)
[3071557:MainThread](2024-03-28 16:17:12,808) INFO - qlib.DEnsembleModel - [double_ensemble.py:88] - Retrieving loss curve and loss values...
[3071557:MainThread](2024-03-28 16:17:17,780) INFO - qlib.DEnsembleModel - [double_ensemble.py:102] - Feature selection...
[3071557:MainThread](2024-03-28 16:20:01,132) INFO - qlib.DEnsembleModel - [double_ensemble.py:81] - Training sub-model: (3/3)
[3071557:MainThread](2024-03-28 16:20:06,277) INFO - qlib.workflow - [record_temp.py:198] - Signal record 'pred.pkl' has been saved as the artifact of the Experiment 8
[3071557:MainThread](2024-03-28 16:20:06,351) INFO - qlib.timer - [log.py:127] - Time cost: 0.000s | waiting `async_log` Done
train tasks:  25%|██▌       | 11/44 [53:09<2:44:13, 298.61s/it][3071557:MainThread](2024-03-28 16:20:06,360) INFO - qlib.workflow - [exp.py:258] - Experiment 8 starts running ...
[3071557:MainThread](2024-03-28 16:20:06,373) INFO - qlib.workflow - [recorder.py:341] - Recorder 87123e96561e4e9888e4a7563c8cbe26 starts running under Experiment 8 ...
[3071557:MainThread](2024-03-28 16:20:06,743) INFO - qlib.DEnsembleModel - [double_ensemble.py:57] - Double Ensemble Model...
[3071557:MainThread](2024-03-28 16:20:07,425) WARNING - qlib.utils - [__init__.py:789] - The parameter `reweighter` with value `None` is ignored.
[3071557:MainThread](2024-03-28 16:20:09,154) INFO - qlib.DEnsembleModel - [double_ensemble.py:81] - Training sub-model: (1/3)
[3071557:MainThread](2024-03-28 16:20:17,569) INFO - qlib.DEnsembleModel - [double_ensemble.py:88] - Retrieving loss curve and loss values...
[3071557:MainThread](2024-03-28 16:20:31,537) INFO - qlib.DEnsembleModel - [double_ensemble.py:102] - Feature selection...
[3071557:MainThread](2024-03-28 16:22:36,795) INFO - qlib.DEnsembleModel - [double_ensemble.py:81] - Training sub-model: (2/3)
[3071557:MainThread](2024-03-28 16:22:39,788) INFO - qlib.DEnsembleModel - [double_ensemble.py:88] - Retrieving loss curve and loss values...
[3071557:MainThread](2024-03-28 16:22:46,465) INFO - qlib.DEnsembleModel - [double_ensemble.py:102] - Feature selection...
[3071557:MainThread](2024-03-28 16:25:56,412) INFO - qlib.DEnsembleModel - [double_ensemble.py:81] - Training sub-model: (3/3)
[3071557:MainThread](2024-03-28 16:26:00,661) INFO - qlib.workflow - [record_temp.py:198] - Signal record 'pred.pkl' has been saved as the artifact of the Experiment 8
[3071557:MainThread](2024-03-28 16:26:00,724) INFO - qlib.timer - [log.py:127] - Time cost: 0.000s | waiting `async_log` Done
train tasks:  27%|██▋       | 12/44 [59:04<2:48:18, 315.57s/it][3071557:MainThread](2024-03-28 16:26:00,737) INFO - qlib.workflow - [exp.py:258] - Experiment 8 starts running ...
[3071557:MainThread](2024-03-28 16:26:00,767) INFO - qlib.workflow - [recorder.py:341] - Recorder 4a67622c7fb4402e925009dd3a054d84 starts running under Experiment 8 ...
[3071557:MainThread](2024-03-28 16:26:01,212) INFO - qlib.DEnsembleModel - [double_ensemble.py:57] - Double Ensemble Model...
[3071557:MainThread](2024-03-28 16:26:01,905) WARNING - qlib.utils - [__init__.py:789] - The parameter `reweighter` with value `None` is ignored.
[3071557:MainThread](2024-03-28 16:26:03,660) INFO - qlib.DEnsembleModel - [double_ensemble.py:81] - Training sub-model: (1/3)
[3071557:MainThread](2024-03-28 16:26:09,781) INFO - qlib.DEnsembleModel - [double_ensemble.py:88] - Retrieving loss curve and loss values...
[3071557:MainThread](2024-03-28 16:26:20,353) INFO - qlib.DEnsembleModel - [double_ensemble.py:102] - Feature selection...
[3071557:MainThread](2024-03-28 16:28:10,879) INFO - qlib.DEnsembleModel - [double_ensemble.py:81] - Training sub-model: (2/3)
[3071557:MainThread](2024-03-28 16:28:13,346) INFO - qlib.DEnsembleModel - [double_ensemble.py:88] - Retrieving loss curve and loss values...
[3071557:MainThread](2024-03-28 16:28:18,080) INFO - qlib.DEnsembleModel - [double_ensemble.py:102] - Feature selection...
